공모전이름,주최사,마감일,링크
게임 '빨간 공은 어디에?' BGM 음악 공모전 레모네이션,레몬사운드,정보 없음,정보 없음
게임 '빨간 공은 어디에?' BGM 음악 공모전 레모네이션,주최사 정보 미상,정보 없음,정보 없음
2026 제28회 수주문학상 작품 공모,주최사 정보 미상,정보 없음,정보 없음
2026년 제28회 수주문학상 작품 공모,(사)부천예총,정보 없음,정보 없음
제1회 코리아 숏드라마 어워즈,"씨네플레이, 한국영상자료원",정보 없음,정보 없음
제55회 코리아헤럴드 영어스피치대회,"ㆍ헤럴드미디어그룹 (코리아헤럴드 헤럴드경제 ),",정보 없음,정보 없음
2026 전국초등학생 민화공모전,주최사 정보 미상,정보 없음,정보 없음
2026 전국초등학생 민화공모전,영월군,정보 없음,정보 없음
2026 어린이 제품안전 그림공모전,주최사 정보 미상,정보 없음,정보 없음
2026 어린이 제품안전 그림 공모전,산업통상부 국가기술표준원,정보 없음,정보 없음
2027 충청 유니버시아드대회 공식상품 디자인 공모전,재단법인 2027 충청권 하계세계대학경기대회 조직위원회,정보 없음,정보 없음
2027 충청 유니버시아드대회 공식상품 디자인 공모전,주최사 정보 미상,정보 없음,정보 없음
2027 충청 유니버시아드대회 공식상품 디자인 공모전 신규,(재)2027 충청 유니버시아드대회 조직위원회,정보 없음,정보 없음
